organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date
kde, kbibtex, https://github.com/KDE/kbibtex.git,35,3462,22, C++,93.7, false,2008-10-29,2022-05-18
kde, flatpak-kde-runtime, https://github.com/KDE/flatpak-kde-runtime.git,24,518,31, Python,82.2, false,2016-12-23,2022-04-03
kde, okteta, https://github.com/KDE/okteta.git,58,4385,49, C++,97.3, false,2003-12-16,2022-05-17
kde, eventviews, https://github.com/KDE/eventviews.git,7,841,21, C++,96, false,2015-12-30,2022-05-16
kde, akonadi-contacts, https://github.com/KDE/akonadi-contacts.git,6,3174,61, C++,94.1, false,1999-04-11,2022-05-16
kde, kup, https://github.com/KDE/kup.git,8,476,16, C++,96.2, false,2011-12-09,2022-05-17
kde, spacebar, https://github.com/KDE/spacebar.git,5,555,18, C++,60.6, false,2016-12-20,2022-05-17
kde, keysmith, https://github.com/KDE/keysmith.git,9,325,14, C++,85.5, false,2019-12-31,2022-05-17
kde, kget, https://github.com/KDE/kget.git,21,3192,84, C++,96.7, false,2002-12-26,2022-05-14
kde, kservice, https://github.com/KDE/kservice.git,8,1008,61, C++,95.9, false,2013-12-31,2022-05-17
kde, kalarm, https://github.com/KDE/kalarm.git,12,7912,98, C++,98.3, false,1999-04-11,2022-05-17
kde, mailcommon, https://github.com/KDE/mailcommon.git,4,1239,26, C++,96.6, false,2015-12-30,2022-05-17
kde, kirigami-addons, https://github.com/KDE/kirigami-addons.git,4,61,13, C++,60.6, false,2020-11-13,2022-05-17
kde, kdebugsettings, https://github.com/KDE/kdebugsettings.git,2,921,17, C++,94.5, false,2015-12-17,2022-05-17
kde, kmymoney, https://github.com/KDE/kmymoney.git,86,7813,68, C++,96.2, false,2009-12-27,2022-05-17
kde, massif-visualizer, https://github.com/KDE/massif-visualizer.git,208,642,20, C++,97.8, false,2010-12-26,2022-05-17
kde, plasma-phonebook, https://github.com/KDE/plasma-phonebook.git,7,318,16, QML,66.3, false,2019-12-31,2022-05-17
kde, kde-inotify-survey, https://github.com/KDE/kde-inotify-survey.git,0,17,3, C++,85.3, false,2022-05-09,2022-05-17
kde, maui-shelf, https://github.com/KDE/maui-shelf.git,0,119,4, C,47.8, false,2018-12-28,2022-05-17
kde, maui-clip, https://github.com/KDE/maui-clip.git,0,156,4, C++,44.8, false,2020-12-29,2022-05-17
kde, haruna, https://github.com/KDE/haruna.git,8,666,12, QML,52.1, false,2019-12-24,2022-05-17
kde, kmplot, https://github.com/KDE/kmplot.git,9,1490,60, C++,98.8, false,2002-12-10,2022-05-17
kde, kdeconnect-ios, https://github.com/KDE/kdeconnect-ios.git,250,114,8, Swift,56, false,2021-10-15,2022-05-09
kde, kdeconnect-kde, https://github.com/KDE/kdeconnect-kde.git,1400,3442,132, C++,80.8, false,2013-12-29,2022-05-15
kde, khangman, https://github.com/KDE/khangman.git,6,1602,57, C++,53, false,2001-12-26,2022-05-16
kde, kdb, https://github.com/KDE/kdb.git,5,2647,24, C++,91.9, false,2003-12-31,2022-05-16
kde, umbrello, https://github.com/KDE/umbrello.git,77,8464,88, C++,51.2, false,2003-12-30,2022-05-16
kde, ocs-fileserver, https://github.com/KDE/ocs-fileserver.git,2,226,2, PHP,99.7, false,2016-12-05,2022-05-16
kde, maui-pix, https://github.com/KDE/maui-pix.git,4,769,13, QML,47.2, false,2018-12-27,2022-05-16
