Project,previousDate,previousHash,previousValue,changesDate,changesHash,newValue,featureChanges,action
kmymoney,2018-03-19,8b086cf921879770971e9331f005339bfacdc84c,40,2018-03-26,dae9b9045a5256dcca081ff88fc9837ebe48fccd,77,ranged-for,addtions
kmymoney,2018-07-02,7561bb34fa313b4d4fe2c9700507faa9d4fe8e80,53,2018-07-09,7228ba27a926532ef769347dfab36732212d22d5,99,ranged-for,addtions
kmymoney,2020-12-21,0c41641c01c63931d0ceffee49f3623db592f7c3,60,2020-12-31,1c7cf75c4dcd1699582ca67ee2baa72fe81a23c8,111,lambda,addtions
knotes,2021-04-25,0e5f8bb06fbc0cc0ff1c0b1bdc430cf3672c448f,103,2021-05-02,4d1e8e4d60e95b63286ac0103fed2e0310a3cd92,178,auto,addtions
konqueror,2020-08-22,7e30b477f83dfbd4a121783ae7a9d2a598fad60d,44,2020-08-29,1edc789e5797096dd0097d6e4c0d350496184575,67,lambda,addtions
konsole,2019-11-16,7bcf92696bad07940a97b17f749a01d6772dd4e5,61,2019-11-23,c83bb19a68a65a59e149586d809c442168ba35aa,98,ranged-for,addtions
konsole,2020-02-29,171d6fbbaa2bdb35736d70534f3a26152dc42900,61,2020-03-08,26f4a2218f52f790d4de087216098619a753164e,149,ranged-for,addtions
konversation,2020-10-12,af2696fc2087b1930e5a4583795dedd8a792a2dc,30,2020-10-19,73cbf537cd267927fe333b871135a0ce8e18ef5e,48,auto,addtions
konversation,2020-10-12,af2696fc2087b1930e5a4583795dedd8a792a2dc,161,2020-10-19,73cbf537cd267927fe333b871135a0ce8e18ef5e,271,ranged-for,addtions
konversation,2021-05-16,a912c134023040fdb67553c866e58b4c09871214,78,2021-05-24,4be5cb0086f95bc3e97475a1ef6c2a879d258813,238,auto,addtions
konversation,2021-06-15,7de5a8bb990ef04ae2cabead07394f9e7d6b1b8d,78,2021-06-26,178389edfbeaf24af8ed2b5de3b35a9520c27368,239,auto,addtions
korganizer,2017-06-19,1322e086c07c8491f85cf2342dfbd12a9043e6cf,37,2017-06-26,7795985a7015ee6471283240e9aee2088572f923,59,ranged-for,addtions
korganizer,2020-10-31,08063ba5820b1f31dabea6e43e54c7ed00593955,38,2020-11-08,897187c9cc19ba128173e00e2611c01a9777ed16,201,auto,addtions
kphotoalbum,2020-04-04,2e7814d5650f7b48f99b1cf0840f56ec35cdefc8,42,2020-04-11,f1cba31284cdb8dcf0787227672c72e277eabbf9,68,auto,addtions
kphotoalbum,2020-04-04,2e7814d5650f7b48f99b1cf0840f56ec35cdefc8,109,2020-04-11,f1cba31284cdb8dcf0787227672c72e277eabbf9,264,ranged-for,addtions
kpimtextedit,2020-10-21,62f03066f23e1828bc48a53e0e6e1a3f8f8e9290,109,2020-11-01,c6fa90c5c0bf719439fd9e2d2678eb0e329ff624,189,auto,addtions
krfb,2020-10-22,2b9cb5c58c2176ed76b09424eb3733484ed0e5c2,23,2020-10-30,fcad3620db7705f749403c48710f266e58e69ef8,36,auto,addtions
krusader,2019-02-09,6f651d84eafa50ab5516603a8957def70bcb0b11,31,2019-02-17,a2bae85c9e4ff7654c933be2dc79d42fd12ee1ec,375,auto,addtions
krusader,2019-02-09,6f651d84eafa50ab5516603a8957def70bcb0b11,50,2019-02-17,a2bae85c9e4ff7654c933be2dc79d42fd12ee1ec,98,ranged-for,addtions
krusader,2019-04-17,022b039cab6d1861862e868f7fbb4c43c3ca4250,31,2019-05-19,e1f3220716817cb8187ed37a0aea90a03228c39e,375,auto,addtions
krusader,2019-04-17,022b039cab6d1861862e868f7fbb4c43c3ca4250,48,2019-05-19,e1f3220716817cb8187ed37a0aea90a03228c39e,99,ranged-for,addtions
krusader,2019-07-01,262a96c795c702c7568803b64d3c67df9625364e,32,2019-07-12,34764ed6dc1b4d667d09d751faa90408fb7e2de9,375,auto,addtions
krusader,2019-07-01,262a96c795c702c7568803b64d3c67df9625364e,48,2019-07-12,34764ed6dc1b4d667d09d751faa90408fb7e2de9,99,ranged-for,addtions
krusader,2019-07-20,ca225e2912843125a626fad711211f5685b60fcf,33,2019-08-01,ce1941db1d8e9f5c5b6ea292cefca97e40f5e7d8,375,auto,addtions
